game_id,commence_time,home_team,away_team,kickoff_local,nfl_week_index,home_line_model,spread_mu,spread_sigma,p_home_cover_at_model,p_home_cover_at_zero,home_score,away_score,winner
2024_14_LAC_KC,,KC,LAC,,,-5.7,5.67068407917045,13.5,0.7995742169911761,0.6627757817389421,19.0,17.0,home
2024_14_CIN_DAL,,DAL,CIN,,,-3.9,3.9340297979063217,13.5,0.719992500672673,0.6146309689728144,20.0,27.0,away
2024_15_LA_SF,,SF,LA,,,-1.8,1.837625471768706,13.5,0.6072815679610466,0.5541369517215127,6.0,12.0,away
2024_15_DAL_CAR,,CAR,DAL,,,-1.3,1.3191414571322309,13.5,0.577471193298106,0.5389203730819999,14.0,30.0,away
2024_15_KC_CLE,,CLE,KC,,,4.9,-4.914264555298814,13.5,0.23329479726942592,0.3579216879091519,7.0,21.0,away
2024_15_MIA_HOU,,HOU,MIA,,,-4.6,4.642384463027019,13.5,0.7541982436390846,0.6345318576496496,20.0,12.0,home
2024_15_NYJ_JAX,,JAX,NYJ,,,-3.4,3.4018225552158787,13.5,0.6928600748786764,0.599474388253445,25.0,32.0,away
2024_15_WAS_NO,,NO,WAS,,,-0.4,0.42183778483223994,13.5,0.5249154738089101,0.512463818215345,19.0,20.0,away
2024_15_BAL_NYG,,NYG,BAL,,,3.2,-3.2006265266134544,13.5,0.3176904500736588,0.4062960270803786,14.0,35.0,away
2024_15_CIN_TEN,,TEN,CIN,,,-1.1,1.0632243752420436,13.5,0.5625803969798076,0.5313871902293992,27.0,37.0,away
2024_15_NE_ARI,,ARI,NE,,,-5.9,5.931781780343429,13.5,0.8102403878921268,0.6698109646771816,30.0,17.0,home
2024_15_IND_DEN,,DEN,IND,,,-4.9,4.852943844541058,13.5,0.7639155668668014,0.6403809799233151,31.0,13.0,home
2024_15_BUF_DET,,DET,BUF,,,-5.0,4.978427823236469,13.5,0.7696044641945676,0.6438513224031696,42.0,48.0,away
2024_15_TB_LAC,,LAC,TB,,,-4.2,4.190262949888049,13.5,0.7326277079874989,0.6218677433987027,17.0,40.0,away
2024_15_PIT_PHI,,PHI,PIT,,,-4.2,4.200135258566582,13.5,0.7331087092875028,0.6221457309374196,27.0,13.0,home
2024_15_GB_SEA,,SEA,GB,,,-2.1,2.052279951894562,13.5,0.6194518530391653,0.5604147100791013,13.0,30.0,away
2024_15_CHI_MIN,,MIN,CHI,,,-9.6,9.626516954666922,13.5,0.9230875708735407,0.7621004278375341,30.0,12.0,home
